"","P1PRIMPK","CHILDID","CREGION","GENDER","RACE","C1R4MSCL","WKBLACK","WKHISP","P1HFAMIL","C1CMOTOR","R1_KAGE","P1HIG_1","W1INCCAT","WKINCOME","A2TXSPEN","C1R4MPF","C1R4RPF","S2HVISIT","S2ORIENT","C7R4RPF","C7R4MPF","C6ATTLVL","P1NUMSIB"
"1588",NA,"0103008C",1,2,2,16.86,1,2,NA,-9,65.9,NA,NA,18000,-1,1,0,NA,NA,NA,NA,NA,NA
"1589",6,"0103009C",1,2,2,17.18,1,2,4,10,60.6,11,5,8000,-1,1,0,NA,NA,NA,NA,4,0
"1590",NA,"0103010C",1,2,2,17.74,1,2,NA,13,68,NA,NA,60000,-1,1,1,NA,NA,NA,NA,NA,NA
"1591",0,"0103011C",1,2,2,12.35,1,2,3,11,65.87,11,NA,7690,-1,0,0,NA,NA,NA,NA,NA,5
"1592",6,"0103014C",1,2,2,14.68,1,2,3,11,70.93,16,NA,12000,NA,1,0,NA,NA,NA,NA,NA,1
"1593",NA,"0103015C",1,1,3,20.42,NA,NA,NA,13,70.33,NA,NA,NA,-1,1,0,NA,NA,5,5,3,NA
"1594",NA,"0103016C",1,1,2,21.82,1,2,NA,17,63.63,NA,1,7200,-1,1,0,NA,NA,NA,NA,5,NA
"1595",NA,"0103017C",1,1,4,26.34,NA,NA,NA,15,69.2,NA,NA,NA,-1,2,1,NA,NA,NA,NA,NA,NA
"1596",6,"0103018C",1,2,2,18.51,1,2,3,12,62.7,16,7,19000,3,1,1,NA,NA,NA,NA,3,3
"1597",6,"0103019C",1,2,2,16.33,1,2,3,12,64.53,12,5,24000,3,1,0,NA,NA,8,6,3,4
"1598",6,"0103020C",1,2,2,23.33,1,2,3,14,70.03,16,NA,5000,3,1,0,NA,NA,NA,NA,NA,1
"1599",NA,"0103021C",1,1,2,22.03,1,2,NA,16,61.57,NA,5,12000,3,2,1,NA,NA,NA,NA,NA,NA
"1600",6,"0103022C",1,2,2,22.36,1,2,4,13,68.6,13,NA,12000,3,2,1,NA,NA,NA,NA,NA,0
"1601",-9,"0103023C",1,2,2,20.45,1,2,4,13,59.5,7,NA,54000,3,2,2,NA,NA,NA,NA,NA,0
"1602",NA,"0103024C",1,1,4,13.58,NA,NA,NA,11,65.43,NA,NA,NA,3,1,0,NA,NA,NA,NA,NA,NA
